thermax,थरमैक्स,थर्मैक्स
aarya,आर्य,आर्य
dikhaaiye,दिखाइये,दिखाए
anishtata,अनिष्टता,अनिश्तता
udan,उड़ान,उदन
sanyuktawastha,संयुक्तावस्था,संयुक्तवासता
shamtal,शमलात,शमतल
evava,एवव,एवा
adhiwaktaagan,अधिवक्तागण,अधिवकटागन
ralhan,रल्हन,राहल
jhuthalane,झुठलाने,झुठलाने
purvaabhaas,पूर्वाभास,पूर्वाभास
bijendrasinh,बिजेन्द्रसिंह,बिजेन्द्रसिंह
chinmani,चिनमणि,चिनमानी
loksbhavaali,लोकसभावाली,लोक्षबावली
ladki,लड़की,लड़की
narsinghgarh,नरसिंहगढ़,नरसिंघर्ग
sanghathanamantriyon,संगठनमंत्रियों,संघटनामध्यों
roopi,रूपी,रूपी
karykartaon,कार्यकर्ताओं,कार्यकर्ताओं
augusta,अगस्ता,औगस्ता
manmarji,मनमर्जी,मनमारजी
antrmukh,अंतर्मुख,अंत्रमुख
anumar,अनुमार,अनुमार
rishtanaataa,रिश्तानाता,रिष्टनाता
dviarthi,द्विअर्थी,द्विर्थी
chootile,चुटीले,चूतिले
hattiesburg,हैटीज़बर्ग,हैटियोब्सर्ग
yoojee,यूजी,यूजी
raaj,राज,राज
raigulization,रैगुलाइजेशन,रैगुलाइजेशन
vindhya,विंध्या,विंध्या
fixingah,फिक्सिंगः,फिक्सिंघा
kamjor,कमज़ोर,कम्जोर
bhara,भरा,भरा
chaudhavan,चौदहवां,चौधावन
falne,फलने,फलने
shrunkhla,श्रंखला,श्रुंखला
vipannta,विपन्नता,विपन्ता
proofread,प्रूफ़रीड,प्रूफ्रेड
zamana,ज़माना,ज़मना
ghataaegee,घटाएगी,घटाजी
danga,दंगा,डांगा
erica,एरिका,एरिका
bhola,भोला,भोला
vyakhyatmakta,व्याख्यात्मकता,व्याख्यात्मकता
yojnah,योजनाः,योजनाह
webuniyadee,वेबुनियादी,वेबुनियादे
rumani,रुमानी,रूमनी
sahu,साहू,सहू
pradhaannagar,प्रधाननगर,प्रधाननगर
seattle,सीऐटल,सीटल
stain,स्टैन,स्टैन
insaani,इनसानी,इनसानी
hamla,हमला,हमला
nutrio,न्यूट्रियो,न्यूरियो
ladadd,लदड,लाडाड
antadiyan,अंतडियां,अंतादियां
kushwaha,कुशवाहा,कुश्वाहा
kochchih,कोच्चिः,कोच्छिह
ganapathy,गणपति,गणपत्याय
farmic,फार्मिक,फर्मिक
padengee,पड़ेंगी,पडेंगी
arth,अर्थ,आरएथ
mukarrar,मुक़र्रर,मुकरर
niptakar,निपटाकर,निप्तकर
holidays,होलिडेस,होलिडैयस
cooch,कूच,कूच
utthak,उठ्ठक,उत्तक
sulkhan,सुलखान,सुलखान
kamere,कमेरे,कामेरे
jagayega,जगाएगा,जगयेगा
santree,संत्री,संत्री
shakhsiyaten,शख्सियतें,शख्सियातें
panchang,पंचांग,पंचांग
zalana,झालाना,ज़लाना
nitya,नित्या,नित्य
ichchhee,इच्छी,इच्छी
habra,हाबरा,हबरा
paaliyon,पालियों,पालियों
azoospermia,एजूस्पर्मिया,एजोस्प्रेमिया
taavij,तावीज,ताविज
foodworks,फ़ूडवर्क्स,फूडवर्क्स
graham,ग्राहम,ग्रहम
prabhaanmantree,प्रभानमंत्री,प्रभानमन्त्री
seth,सेथ,सेथ
jagtap,जगताप,जगतप
harshit,हर्षित,हर्षित
dubna,डूबना,दुबना
raktadataon,रक्तदाताओं,रक्तदाताओं
mexico,मेक्सिको,मेक्सीको
tasir,तासीर,तसीर
eyarkandishnar,एयरकंडीशनर,यायरकांसधीन
eddi,एड्डी,एडीआई
macon,मैकॉन,मकों
israni,इसरानी,इसरानी
ainth,ऐंठ,एएएनएथ
shreemahapurn,श्रीमहापूर्ण,श्रीहमपूर्ण
dork,डॉर्क,डोरक
jeenon,जीनों,ज़िनों
ghareebon,ग़रीबों,घरीबों
taraashakar,तराशकर,तराशकर
observer,ऑब्जर्वर,ओब्सरवर
aarya,आर्यो,आर्य
ukhad,उखड,उखाद
saathsaath,साथसाथ,साठसाठ
packagon,पैकेजों,पैकगैन
hindon,हिंडन,हिन्दों
aprihary,अपरिहार्य,अपृहरी
manzil,मंजिल,मंजिल
lx,एलएक्स,एलएक्स
karvi,कर्वी,कारवी
dubhashiyon,दुभाषियों,दुभाषियों
rikannekting,रिकनेक्टिंग,रिकनकेंटिंग
wind,विंड,विंद
client,क्लांइट,क्लिएंट
shararat,शरारत,शरारत
ventura,वेंचुरा,वेन्तुरा
rollins,रोलिंस,रोलिन्स
haynes,हैन्स,हायन
niketan,निकेतन,निकतन
krantiyon,क्रांतियों,क्रांतियों
twin,ट्विन,टीएन
divya,दिव्य,दिव्या
gidgidate,गिड़गिड़ाते,गिडगिडे
nigmaayukt,निगमायुक्त,निग्मायुक्त
gabalee,गबली,गाबली
novato,नोवाटो,नोवटो
rishwatkhor,रिश्वतखोर,रिष्ठकार्फ
faansi,फांसी,फाँसी
garjana,गर्जना,गर्जना
nihlani,निहलानी,निहलानी
pintaa,पिंटा,पिंटा
greer,ग्रीर,ग्रीअर
lewisville,लेविसविल,लिविसली
prakaashit,प्रकाषित,प्रकाशित
clariant,क्लैरिएंट,क्लैरिएंट
khaayal,क़ायल,खायल
dwiarthi,द्विअर्थी,द्विरति
raakhe,राखे,राखे
bulandshahr,बुलंदशहर,बुलन्दश्हर
stafford,स्टेफोर्ड,स्टैफ्फर्ड
najariyon,नजरियों,नजरियों
world,वर्ल्ड,वोर्ड
jeevniyaan,जीवनियां,जीविनय
parmeshwarpur,परमेश्वरपुर,परमशेखरप्रू
uthanee,उठनी,उठानी
nyootriyo,न्यूट्रियो,न्यूत्रियो
jetha,जेठा,जेथा
baagbagichon,बागबगीचों,बागबागिक्शन
suchikitsaa,सुचिकित्सा,सुचिकितसा
nagmandal,नागमण्डल,नागमंडल
pradadhikariyon,प्रदाधिकारियों,प्रदाधिकर्शियों
urvarta,उर्वरता,उरवर्ता
neal,नील,नील
kriptocurrencyon,क्रिप्टोकरेंसियों,क्रिपटक्रोन
svaayattshaasan,स्वायत्तशासन,स्वयात्शकां
zarda,जर्दा,ज़रदा
uplakshya,उपलक्ष्य,उपलक्ष्य
chhudwaya,छुड़वाया,छुड़वाया
vidagdhaa,विदग्धा,विदाग्धा
mukhyamantripatana,मुख्यमंत्रीपटना,मुख्यमंद्रान्त
gene,जैने,जेन
ratanpur,रतनपुर,रतनपुर
mhantam,महानतम,महांतम
guna,गुना,ग्ना
mtech,एमटेक,एमटीच
denevali,देनेवाली,देनेवाली
naabhikund,नाभिकुंड,नाभिकुंद
visheshanon,विशेषणों,विशेषानों
langaron,लंगरों,लांगरों
polythenon,पॉलिथीनों,पॉलिथन
sambit,संबित,संबित
dhundh,ढूंढ,धूं
haan,हां,हान
takra,टकरा,टकरा
dhandhekhori,धंधेखोरी,धन्धेखोरी
pulinde,पुलिंदे,पुलिंदे
epoklips,एपोक्लिप्स,एपोक्लिप्स
vigyaanapeediyaa,विज्ञानपीडिया,विज्ञानप्रियादाय
mahoney,महोनी,महोने
poonjitantra,पूंजीतंत्र,पूंजीतन्त्र
khare,खरे,खरे
ekstactor,एक्सटेक्टर,एकस्टैक्टर
zunheboto,ज़ुन्हेबोटो,ज़ुनभोटो
priyamani,प्रियामणि,प्रियमणि
sawaal,सवाल,सवाल
sukhakar,सूखाकर,सुखकर
aalochak,आलोचक,आलोचक
phaans,फाँस,फाँस
jayalalitaa,जयललिता,जयलातिया
amjhera,अमझेरा,अमझेरा
bombay,बॉम्बे,बॉम्बी
vyagra,व्यग्र,व्याग्रा
apnani,अपनानी,अपनाय
risane,रिसने,रिसने
chhure,छुरे,छुरे
charlotte,शार्लेट,चार्लोट
jose,जोस,जोसे
raileeh,रैलीः,रैलीह
mejbaan,मेज़बान,मेजबान
dhandhanya,धनधान्य,धंधनाया
dabur,डाबर,बाबुर
bsss,बीएसएसएस,बीएसएसएस
najib,नजीब,नजीब
avsthayen,अवस्थाएं,अवस्थायें
jabalpur,जबलपुर,जबलपुर
dharmanirpekshtaake,धर्मनिरपेक्षताके,धर्मनिरपेक्षते
farmer,फार्मर,फर्मर
nacl,एनएसीएल,एनएसएल
somerville,समरविल,सोमरविल
bull,बुल,बुल
jhulae,झुलए,झुलाए
khagyaar,खग्यार,खाग्यार
meharaam,मेहराम,मेहाराम
dhasmana,धस्माना,धसमाना
ripan,रिपन,रिपन
bhagdaud,भागदौड़,भगदौद
mithya,मिथ्या,मिथ्या
lalaaniyaa,ललानिया,ललानिया
bhulon,भूलों,भूलों
vadali,वडाली,वाडली
nagappattinam,नागापट्टिनम,नागप्टेंसमोन
vaimanya,वैमनस्य,वैमन्य
biggest,बिगेस्ट,बिग्सेट
jodta,जोड़ता,जोड़ता
mahattaron,महत्तरों,महत्तरों
orchha,ओरछा,ओरछा
dhairyavaan,धैर्यवान,धैर्यवां
sund,सूंड़,सुन्द
prince,प्रिंस,प्रिंस
zuban,ज़ुबान,ज़ुबान
camstudio,कैमस्टूडियो,कम्स्ट्यूडियो
yooropiyaa,यूरोपिया,योरोपिया
meza,मेज़ा,मेज़ा
bhusawal,भुसावल,भुसावल
gayatri,गायत्री,गयात्री
ware,वेयर,वारे
buddhizeevon,बुद्धिजीवों,बुद्धिजेशों
enth,ऐंठ,एन्थ
radar,रदर,रदर
ilayachi,इलाइची,इलायची
ubaal,उबाल,उबाल
shreeganganagarwaasiyon,श्रीगंगानगरवासियों,श्रीगणगावरसियों
fitzgerald,फिजराल्ड़,फिटजगर्डल
jeevanshaili,जीवनशैली,जीवनशाली
chart,चार्ट,चर्त
sargi,सरगी,सार्गी
vedon,वेदों,वेदों
murmur,मरमर,मुरमूर
bhaate,भाते,भाते
wipkha,विप्ख,विखा
bayaane,बयाने,बयाने
madanaganja,मदनगंज,मदानगन्जा
packageon,पैकेजों,पैकेजेन
varnankartaaon,वर्णनकर्ताओं,वर्णकर्ताओं
jyada,ज़यादा,ज्यादा
lokotsaw,लोकोत्सव,लोकोत्सव
tewree,तेवरी,टेवरी
jhaugunj,झाउगंज,झौगुंज
malwan,मालवान,मलवान
tadanrusti,तदंरुस्ती,तदनरूस्ति
el,ऐल,एली
qabzaa,क़ब्ज़ा,क़ब्ज़ा
susanskrit,सुसंस्कृत,सुसंक्रित
sandhol,संधोल,संधोल
aamariyapadha,आमरियापाड़ा,आमरियापाढ़ा
haabban,हाब्बन,हब्बन
bowling,बाउलिंग,बोवॉलिंग
rasme,रस्मे,रसमे
emdablyupiel,एमडब्ल्यूपीएल,एमडाब्लिफ्लीय
vidhaaon,विद्याओं,विधाओं
bowie,बोवी,बोवी
chennai,चेन्नई,चेन्याई
kamaljeet,कमलजीत,कमलजीत
singha,सिंहा,सिंघा
pensiondhariyon,पेंशनधारियों,पेनशिउंद्रों
barah,बारह,बरह
dubana,डूबना,दुबाना
esetal,एसेटल,एसेटल
chouhan,चौहान,चौहान
phalne,फलने,फलने
siddhaarthah,सिद्धार्थः,सिद्धार्था
apex,एपेक्स,एपीएक्स
dalton,डाल्टन,दाल्टन
shrikhand,श्रीखंड,श्रीखंड
textiles,टेक्सटाइल्स,टेक्सटिल
agarwal,अग्रवाल,अगरवाल
mithyaachariyon,मिथ्याचारियों,मिथ्याचारियों
cement,सिमटे,सेमेंट
kraanfrensing,क्रान्फ्रेंसिंग,क्रान्फ्रेंसीज
sanskrutiyon,संस्कृतियों,संस्क्रतियों
dhankkar,ढंककर,धंककर
nizamabad,निज़ामाबाद,निजामाबाद
chhatenee,छतेनी,छटेनी
dushkriyaa,दुष्क्रिया,दुष्क्रिया
sasaram,सासाराम,ससरम
chidhte,चिढ़ते,चिढ़ते
lamba,लाम्बा,लाम्बा
lautis,लउटिस,लौटिस
khaen,खाएँ,खें
dhndhe,धंधे,धंधे
antayant,अन्त्यन्त,अंतयंत
mass,मास,एसएएस
baraamad,बरामद,बरामद
kremistry,क्रेमिस्ट्री,क्रेमस्ट्री
uthanevale,उठनेवाले,उठानेवाले
lehna,लहना,लहना
siragitti,सिरगिट्टी,सिरगिति
control,कंट्रोल,कॉन्ट्रोल
andaajee,अंदाजी,अंदाजी
cateline,कैटलिन,कैटेलिन
pakshpat,पक्षपात,पक्षपत
fodo,फोड़ों,फोडो
franciska,फ्रांसिस्का,फ्रांसिसका
prayogaprushth,प्रयोगपृष्ठ,प्रयोगास्तपुर्थ
krantidhara,क्रांतिधरा,क्रान्तिधारा
daishwala,डैशवाला,दैशवाला
khurasan,खुरासान,खुरसन
quarantine,क्वॉरेनटाइन,क्वारेंटन
fond,फोंड,फोंड
pakshapat,पक्षपात,पक्षपत
putla,पुतला,पुतला
truth,ट्रुथ,ट्रूथ
sathsath,साथसाथ,सथसाथ
mohim,मोहिम,मोहिम
johnson,जॉनसन,जोहनसन
cpm,सीपीएम,सीपीएम
bataaya,बाताया,बताया
palmer,पाल्मर,पालमेर
tughlaqabad,तुगलकाबाद,तुफ्लाकबाद
apcotex,एपकोटेक्स,एपॉकटेक्स
hairam,हैरम,हैरम
sarebajar,सरेबाजार,सरेबाजार
jerusalem,येरुशलम,जेरुसलम
mold,मोल्ड,मोल्द
warnankartaaon,वर्णनकर्ताओं,वर्णकर्ताओं
hooper,हूपर,हूपर
waters,वाटर्स,वायर्स
lubhaate,लुभाते,लुभाते
fefda,फेफड़ा,फेफड़ा
kamottejna,कामोत्तेजना,कमोट्टेजना
dampati,दंपति,दमपति
soya,सोया,सोहा
barbartapurna,बर्बरतापूर्ण,बरबारतपूर्ण
tadipar,तड़ीपार,ताड़ीपर
lutf,लुत्फ,लूफ
tariko,तरीको,तरिको
chataa,चता,चटा
pittman,पिटमैन,पिट्टमैन
pahla,पहला,पहला
multimedia,मल्टीमीडिया,मल्टीमिडिया
tyohaar,त्यौहार,त्योहर
label,लेबल,लेबल
le,ले,ली
tirthatan,तीर्थाटन,तीरथटन
satuaa,सतुआ,सतुआ
vargas,वर्गस,वर्गस
dabolim,डाबोलिम,डबोलिम
soochnaah,सूचनाः,सूचनाह
labelling,लेबलिंग,लेबलिंग
roseville,रोज़विल,रोजेविल
phaaeebrets,फ़ाईब्रेट्स,फायब्रेट्स
aalto,ऑल्टो,आल्टो
partanee,परतानी,परतानी
asmitaon,अस्मिताओं,अस्मिताओं
want,वांट,वान्त
tadpatee,तड़पती,तड़पटे
patel,पटेल,पैटेल
kaaji,काजी,काजी
dostanapurna,दोस्तानापूर्ण,दोस्तापनूर्ण
kshetron,क्षेत्राें,क्षेत्रों
lynch,लिंच,लिंच
state,स्टेट,स्टेट
ragon,रागों,रागों
malhotra,मल्होत्रा,मलहोत्रा
pragyatantra,प्रज्ञातंत्र,प्रज्ञतन्तर
duneerti,दुर्नीति,दुनिर्ति
crosse,क्रॉस,क्रॉस
avyavasayi,अव्यवसायी,अव्यवसायी
dhiryawaan,धैर्यवान,धिर्यवां
time,टाइम,तीम
ashariri,अशरीरी,आशरीरी
chandradas,चन्द्रदास,चंद्रासाद
jyotishi,ज्योतिषि,ज्योतिशी
alexandria,एलेक्जेंड्रिया,एलेक्सांड्रिया
bewakoofaanaa,बेवकूफाना,बेवकोचनो
sirpur,सिरपुर,सिरपुर
uzbek,उज़्बेक,उजबेक
kharuvaar,खरुवार,खरुवार
dharmaviheenataa,धर्मविहीनता,धर्महिवानता
surendranagar,सुरेंद्रनगर,सुरेंद्रगर
aalha,आल्हा,आल्हा
arunachal,अरुणाचल,अरुणाचल
krueger,क्रुएगर,क्रूगर
bagli,बागली,बगली
davindarpaal,दविन्दरपाल,दविंदरपाल
chaplusi,चापलूसी,चापलसी
sanskariyon,संस्कारियों,संस्कारियों
engines,इंजन्स,एन्जिन्स
mendez,मेंडेज़,मेंजेज
siyah,सियाह,सिहाय
gujaarane,गुजारने,गुजारने
gajara,गजरा,गजरा
kavi,कवि,कावी
midnapore,मिदनापुर,मिडनापोर
vrutton,वृत्तों,व्रटन
sirmon,सिरमोन,सिरमों
vartman,वर्तमान,वर्तमन
ubhrega,उभरेगा,उभ्रेगा
pilot,पायलट,पिलोट
narbhakshi,नरभक्षी,नारभक्षी
entreeks,एंट्रीक्स,एन्ट्रिक्स
dayton,डेटन,दायतों
badoo,बडू,बढ़ू
allrounder,ऑलराउंडर,एलरॉन्डर
nishra,निश्रा,निश्रा
wadhawan,वधावन,वाधावन
jensen,जेन्सन,जेनसेन
pali,पाली,पाली
trimasik,त्रैमासिक,त्रिमाकिक
attraikt,अट्रैक्ट,अत्रायक्त
vavidyaalaya,वविद्यालय,वविद्यालय
chandan,चंदन,चन्दन
mega,मेगा,मेगा
mansfield,मैन्सफील्ड,मैन्सफिल्ड
mattancheri,मट्टानचेरी,मत्तांचारी
navketan,नवकेतन,नवकेतन
kamtar,कमतर,कमटर
pityooniya,पिट्यूनिया,पित्यूनिया
purooshottampur,पुरूषोत्तमपुर,पुरूषोतकुमुपुर
tapan,तपन,टैपन
jubaan,ज़ुबान,जुबान
enseeaardablyoosee,एनसीआरडब्ल्यूसी,एनसियार्बोदासी
haimbalin,हैम्बलिन,हैम्बलिन
aaraam,आराम,आराम
yashpal,यशपाल,यश्पल
wokha,वोखा,वोखा
chhetri,छेत्री,छेत्री
omaxe,ओमैक्स,ओमके
parween,परवीन,परवीं
kukreja,कुकरेजा,कुक्रेजा
premphalah,प्रेमफलः,प्रेमखलाह
narmi,नरमी,नर्मी
shrinkhalaon,श्रंखलाओं,शृखंलाओं
avrodhak,अवरोधक,अवरोधक
teeron,तीरों,तीरों
ganesha,गणेशा,गनेशा
jhada,झाड़ा,झड़ा
anupama,अनुपमा,अनुपमा
talabgaar,तलबगार,तलबगार
bindal,बिन्दल,बिंदल
zavala,ज़वाला,ज़वला
aamriyapada,आमरियापाड़ा,आमृपादा
pratinidhikaree,प्रतिनिधिकारी,प्रतिनिधिकेरी
halmatpuraa,हलमतपुरा,हलमाटपुरा
boodam,बूदम,बूदम
macias,मैकियास,मैसियास
medical,मेडीकल,मीडिकल
respecting,रिस्पेक्टिंग,रिस्टेकिंग
ranjkta,रंजकता,रणक्ता
da,दा,दा
suction,सक्शन,सस्टिन
bhumi,भूमी,भूमी
tyoharon,त्यौहारों,त्योहरों
rangate,रंगते,रंगते
uttra,उत्तरा,यूटीआरए
penshandhaariyon,पेंशनधारियों,पेंशधरणो
karykartaaon,कार्यकर्ताओं,कार्यकर्ताओं
vidyaaon,विद्याओं,विद्याओं
dafan,द़फन,दफन
sarhind,सरहिंद,सरहिंद
khaaskar,ख़ासकर,खासकर
raith,रैथ,रैथ
gudagaunw,गुडगौंव,गुडागांव
sahab,साहब,सहब
udaanon,उड़ानों,उदानों
majesco,मेजेस्को,मजेसको
pushpa,पुष्पा,पुष्पा
keshari,केशरी,केशरी
bombi,बांबी,बीएमआई
kargil,कारगिल,कार्गिल
takara,टकरा,तकरा
biji,बिजी,बिजी
chrome,क्रोम,क्रोम
stithi,स्तिथि,स्तिथि
gulf,गल्फ,गीएलएफ
kaaloniwaasiyon,कालोनीवासियों,कालोनिओवियों
aavritiyon,आवृत्तियों,आवृतियों
suhanubhooti,सुहानुभूति,सुहानुभूति
chamach,चमच,चमच
virodhabhasi,विरोधाभासी,विरोधाभासी
saabhaar,साभार,साभर
allcargo,ऑलकार्गो,अलकार्गो
harana,हारना,हरन
avyavasayee,अव्यवसायी,अव्यवसायी
pravinses,प्राविंसेस,प्रविंसेज
chhetthari,छेत्री,छेठ्टरी
pratishthi,प्रतिष्ठी,प्रतिष्ठि
sapa,सपा्,सपा
patki,पटकी,पटकी
parchiyon,पर्चियों,परचियों
prativad,प्रतिवाद,प्रतिदाद
liphaaphaa,लिफ़ाफ़ा,लिफाफा
darshana,दर्शाना,दरशाना
garrison,गेरीसन,गरिसन
aakandon,आकंड़ों,आकांदों
dhandon,धंधों,धन्दों
distreebyootaree,डिस्ट्रीब्यूटरी,दिस्त्रीब्रूतरी
khatri,खत्री,खातरी
panjika,पंजिका,पंजीका
baatah,बातः,बातः
ravaley,रावले,रवाली
kangan,कंगन,कांग
premaatmak,प्रेमात्मक,प्रेमात्मक
sipahi,सिपाही,सिपहि
notebandishuda,नोटबंदीशुदा,नोटेबन्दशी
devlaha,देवलहा,देवलाह
halla,हल्ला,हल्ला
jhamaaten,ज़मातें,झमातें
massey,मैसी,मसे
usak,उसक,उसक
pitamah,पितामह,पितामह
vivaranahbhaarateey,विवरणःभारतीय,विवरणभरती
nagercoil,नागेरकोइल,नैगरकोल
lakhkhi,लख्खी,लखखी
achhi,अच्छी,अछी
satin,सैटिन,सतिन
nagpur,नागपुर,नागपुर
basirhat,बसीरहाट,बसिरहट
chhelai,छेलै,छेलै
ubarkar,उबरकर,उबरकर
sanyuktavastha,संयुक्तावस्था,संयुक्तताव
suri,सूरी,सुरी
bhapaai,भपाई,भापाई
vyaktigat,व्यक्तिगत,व्यक्तिगत
mhathir,महाथिर,महाहित्र
flesh,फ्लेश,फ्लेश
rashtrak,राष्ट्रक,राष्ट्रक
raajbhaaee,राजभाई,राजभाए
hong,हॉन्ग,होंग
langron,लंगरों,लांगरों
subhaay,सुभाय,सुभाय
fund,फंड,फ़्न्ड
flowers,फ्लावर्स,फ्लोवर्स
uthane,उठने,उठने
badaa,बडा़,बड़ा
mishra,मिश्रा,मिश्रा
shat,षट्,शत
manhattan,मैनहट्टन,मनहट्टन
sarguja,सरगुजा,सर्गुजा
evening,ईवनिंग,इवेनिंग
grahankaal,ग्रहणकाल,ग्रहंकल
bagali,बागली,बगली
neeoo,नीऊ,नीउ
mundwa,मुंडवा,मुंडवा
tolasan,तोलासन,तोलासन
jedateeisaft,जेडटीईसाफ्ट,जेडिटिकस्ट
naagmandal,नागमण्डल,नागमंदल
kanaal,कनाल,कनल
machilipatnam,मछलीपट्टनम,मछिलप्तानमों
felix,फेलिक्स,फेलिक्स
hastaksharon,हस्ताक्षरों,हस्तकाशोर
bhilai,भिलाई,भिलाई
contracting,कॉन्ट्रेक्टिंग,कॉन्ट्रैक्टिंग
qraar,क़रार,क्रार
jaun,जौं,जौन
bhaloo,भाालू,भलू
fortis,फोर्टिस,फोर्टिस
girijagharon,गिरजाघरों,गिरिजाघरों
jainon,जैनों,जैनों
arthavyavasthaah,अर्थव्यवस्थाः,अर्थव्यासथा
oxys,ऑक्सीज,ओसीएक्स
khitabon,खिताबों,खितबों
enka,एनका,एनका
chashma,चष्मा,चशमा
batao,बताअाे,बताओ
ghrutakumaaree,घृतकुमारी,घ्रुटकुमार्य
pratestent,प्राटेस्टेंट,प्रेटस्टें
bauer,ब्युर,बौर
lakshmidhar,लक्ष्मीधर,लक्ष्मीधार
siyasi,सियासी,सियासी
upyogitawadiyon,उपयोगितावादियों,उप्योगादितावरीतों
toogaa,टूगा,तूगा
samadjiyon,समाधियों,समाज्दियों
khurpaka,खुरपका,खुरपका
kumavat,कुमावत,कुमावत
mwp,एमडब्ल्यूपी,एमवीपी
suraj,सूरज,सुराज
neuroscientists,न्यूरोसाइंटिस्ट्स,न्यूरोसिक्टेंस
chandreshwaranagar,चंद्रेश्वरनगर,चंद्रेश्वरनगर
tanish,टैनिस,तनिश
farukhnagar,फर्रूखनगर,फरूखानगर
awaazon,आवाज़ों,अवाजों
najraane,नजराने,नजराने
pashuchaaraa,पशुचारा,पशुचारा
webuniyadi,वेबुनियादी,वेबुनिद्यारी
danbury,डेनबरी,डैनबरी
naidillee,नईदिल्ली,नैदिली
chhalla,छल्ला,छल्ला
rowan,रोवन,रोवन
sheopur,श्योपुर,शीपूर
rawlani,रव्लानी,रावाली
sanvaree,संवरी,संवरी
dhaak,धाक,धक
masse,मस्से,मसे
insurance,इंश्योरेंस,इंस्यूरेंस
samprbhuta,संप्रभुता,संप्रभुता
raashtraa,राष्ट्रा,राष्ट्रा
jauhari,जौहरी,जौहरी
judai,जुदाई,जुड़ी
badamaashon,बदमाशाें,बदमशों
khitaabon,खिताबों,खिताबों
swayam,स्वयँ,स्वयम
aagah,आग़ा,आगाह
dhindhwal,ढिंडवाल,धिंधवाल
ghise,घिसे,घिसे
sappaanwaalee,सप्पांवाली,सप्पावनालाही
nikharen,निखारें,निखारें
baadhit,बाधित,बाधित
brahmapur,ब्रह्मपुर,ब्रह्मपुर
baytown,बैटाउन,बैटोवन
koling,कोलिंग,कोलिंग
samadhiyon,समाधियों,समाधियों
yooniyanwaadi,यूनियनवादी,यूनियावाडी
chhapemar,छापेमार,छपेमर
gareebon,ग़रीबों,गरीबों
thousand,थाऊजेंड,थुसंद
dasila,डसीला,दसिला
kanjentevaaitis,कंजेंटेवाइटिस,कंजेन्टेविश
badhaon,बाधाओं,बढ़ों
lagega,लगेगा,लगेगा
durghatna,दुर्घटना,दुर्घटना
nitiyon,नितियों,नितियों
capdhari,कैपधारी,कैपधारी
atri,अत्री,एटीआरआई
singam,सिंगम,सिंगम
vastvik,वास्तविक,वस्तिक
substensis,सबस्टेंसिस,सबस्टेंस
peelepan,पीलेपन,पीलेपन
uthnee,उठनी,उठनी
handiyaa,हंडिया,हण्डिया
pratirakshi,प्रतिरक्षी,प्रतिरक्षी
lalkarta,ललकारता,लालकर्ता
dukaanon,दुकानों,दुकानों
nividaataon,निविदाताओं,निविदातों
sarvjaateeya,सर्वजातीय,सर्वजातिया
narsanharon,नरसंहारों,नरसहनोर
neemkathana,नीमकाथाना,नीमकथाना
herrera,हेरेरा,हेरेरा
junun,जुनून,जुन
ikai,इकाई,इकाई
jagdalpur,जगदलपुर,जग्दलपुर
swiftlet,स्विफ्टलेट,स्विफ्टल
jalagati,जलगति,जलगती
pitts,पिट्स,पीटीएस
ropi,रोपी,रोपी
adanga,अड़ंगा,अदंगा
alasi,आलसी,एलासी
chaukiyan,चौकियां,चौकियाँ
layton,लेटन,लैतों
vakrangee,वकरंगी,वक्रांगी
development,डेवलपमेंट,डीवेलम्प्न
shawnee,शॉनी,शानी
pardesiyon,परदेसियों,परदेसियों
bhoogol,भूगोल,भूगोल
bagichi,बगीची,बागीची
sivan,सिवान,सिवन
stray,स्ट्रे,स्ट्रै
aalsi,आलसी,आआली
view,व्यू,वीयूएव
vishhin,विषहीन,विश्हिन
kissagoi,किस्सागोई,किस्सागोई
mahanideshak,महानिदेशक,महानिदेशक
chikitsaevam,चिकित्साएवं,चिकित्सवमे
bhattacharya,भट्टाचार्य,भट्टाचार्य
trenton,ट्रेंटन,ट्रेंटन
kanyaein,कन्याएं,कन्याएँ
priyadarshini,प्रियदर्शिनी,प्रियादर्शनी
hukhookh,हुक़ूक़,हुखूख
shulkah,शुल्कः,शुलकाह
rane,राणे,रेन
mahavidya,महाविद्या,महाविद्या
sanshyon,संशयों,संश्यों
shreneeh,श्रेणीः,श्रीही
odom,ओडोम,ओओएम
benitez,बेनिटेज़,बेनेटाज
tyohar,त्यौहार,त्योहर
matiyaanaa,मतियाना,मतियाना
shavyaatra,शवयात्रा,शावयात्रा
rishtey,रिश्ते,रिश्टे
rehaana,रेहाना,रेहाना
qss,क्यूएसएस,क्स
anaavashyak,अनावश्यक,अनाश्वयक
rijhaayaa,रिझाया,रिझाया
brigade,ब्रिगेड,ब्रिगेड
sapane,सपने,सपने
chuneen,चुनीं,चुनीं
koshadhikaari,कोषाधिकारी,कोशधिकारी
karab,करब,करब
paltane,पलटने,पाल्टने
karneshwardham,कर्णेश्वरधाम,कर्णेश्वरमध्रे
aaryanas,आर्यनस,आर्यानास
pratishthanon,प्रतिष्ठानोंं,प्रतिष्ठानों
karaikal,कराईकल,करैकल
uski,उसकी,उसकी
vipreetataa,विपरीतता,विप्रीतता
parikshao,परीक्षाओ,परिक्षाओ
fyuji,फ्यूजी,फ्यूजी
laaminaar,लामिनार,लामिनार
jutati,जुटाती,जुटती
kaushik,कौशिक,कौशिक
bekaaboo,बेकाबू,बेकाबू
